file,solvable,wall_ratio,floor_cells,reachable_floor_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score
pcgnn_000.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_001.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_002.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_003.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_004.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_005.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_006.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_007.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_008.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_009.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_010.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_011.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_012.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_013.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_014.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_015.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_016.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_017.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_018.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_019.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_020.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_021.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_022.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_023.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_024.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_025.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_026.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_027.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_028.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_029.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_030.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_031.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_032.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_033.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_034.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_035.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_036.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_037.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_038.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_039.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_040.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_041.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_042.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_043.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_044.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_045.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_046.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_047.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_048.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
pcgnn_049.txt,True,0.234375,196,1.0,27,0.9,0.0,0.9795918367346939,1.0,0.8622448979591837,0.5146492346938776
