metric,count,mean,std,min,max
CompressionDistanceMetric,4950,0.486338511596251,0.031711617256932674,0.38461538461538464,0.618421052631579
LeniencyMetric,100,0.5725439996865458,0.3567231299984085,0.0,0.9940119760479041
SolvabilityMetric,100,0.76,0.4270831300812525,0.0,1.0
AStarDiversityMetric,4950,0.2170740740740741,0.1826050891944232,0.0,0.5107142857142858
AStarDifficultyMetric,100,0.3047665061809141,0.32573076035737575,0.0,1.0
AStarEditDistanceDiversityMetric,4950,0.5787050033300033,0.33689231899692834,0.0,1.0
