file,has_player,has_enemy,solvable,wall_ratio,interior_wall_density,walkable_cells,reachable_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score
pcgnn_000.txt,False,False,False,0.4897959183673469,0.4722222222222222,100,0.2,0,0.0,0.41,0.1,0.0,1.0,0.37893877551020405
pcgnn_001.txt,False,False,False,0.47959183673469385,0.5277777777777778,102,0.8725490196078431,0,0.0,0.19607843137254902,0.12745098039215685,0.0,1.0,0.3330932372949179
pcgnn_002.txt,True,True,False,0.4846938775510204,0.4930555555555556,101,0.21782178217821782,0,0.0,0.32673267326732675,0.1188118811881188,0.0,1.0,0.36075469791877146
pcgnn_003.txt,True,True,False,0.4744897959183674,0.5138888888888888,103,0.4563106796116505,0,0.0,0.1553398058252427,0.21359223300970873,0.0,1.0,0.3234148999405587
pcgnn_004.txt,True,True,False,0.46938775510204084,0.5138888888888888,104,0.34615384615384615,0,0.0,0.27884615384615385,0.1346153846153846,0.0,1.0,0.346585557299843
pcgnn_005.txt,False,False,False,0.47959183673469385,0.5,102,0.47058823529411764,0,0.0,0.30392156862745096,0.12745098039215685,0.0,1.0,0.35466186474589834
pcgnn_006.txt,False,False,False,0.4846938775510204,0.4583333333333333,101,0.5544554455445545,0,0.0,0.297029702970297,0.27722772277227725,0.0,1.0,0.3548141038593655
pcgnn_007.txt,False,False,False,0.47959183673469385,0.4652777777777778,102,0.47058823529411764,0,0.0,0.17647058823529413,0.1568627450980392,0.0,1.0,0.32917166866746694
pcgnn_008.txt,False,False,False,0.47959183673469385,0.4861111111111111,102,0.18627450980392157,0,0.0,0.21568627450980393,0.0784313725490196,0.0,1.0,0.33701480592236893
pcgnn_009.txt,False,False,False,0.4897959183673469,0.4722222222222222,100,0.68,0,0.0,0.25,0.23,0.0,1.0,0.346938775510204
pcgnn_010.txt,False,False,False,0.4642857142857143,0.4861111111111111,105,0.3333333333333333,0,0.0,0.2,0.18095238095238095,0.0,1.0,0.3292857142857143
pcgnn_011.txt,True,True,False,0.49489795918367346,0.4791666666666667,99,0.1919191919191919,0,0.0,0.29292929292929293,0.0707070707070707,0.0,1.0,0.35705524634096064
pcgnn_012.txt,False,False,False,0.45918367346938777,0.4722222222222222,106,0.5188679245283019,0,0.0,0.18867924528301888,0.27358490566037735,0.0,1.0,0.3254909510974201
pcgnn_013.txt,True,True,False,0.4744897959183674,0.4930555555555556,103,0.36893203883495146,0,0.0,0.24271844660194175,0.23300970873786409,0.0,1.0,0.34089062809589854
pcgnn_014.txt,False,False,False,0.49489795918367346,0.5,99,0.15151515151515152,0,0.0,0.30303030303030304,0.0707070707070707,0.0,1.0,0.3590754483611627
pcgnn_015.txt,False,False,False,0.47959183673469385,0.4652777777777778,102,0.47058823529411764,0,0.0,0.29411764705882354,0.18627450980392157,0.0,1.0,0.35270108043217285
pcgnn_016.txt,False,False,False,0.4846938775510204,0.4652777777777778,101,0.38613861386138615,0,0.0,0.27722772277227725,0.16831683168316833,0.0,1.0,0.35085370781976155
pcgnn_017.txt,False,False,False,0.45918367346938777,0.4722222222222222,106,0.4528301886792453,0,0.0,0.14150943396226415,0.14150943396226415,0.0,1.0,0.31605698883326916
pcgnn_018.txt,True,True,False,0.4387755102040816,0.4583333333333333,110,0.37272727272727274,0,0.0,0.19090909090909092,0.2545454545454545,0.0,1.0,0.31981447124304263
pcgnn_019.txt,True,True,False,0.4336734693877551,0.5208333333333334,111,0.8108108108108109,0,0.0,0.13513513513513514,0.16216216216216217,0.0,1.0,0.30712906784335353
pcgnn_020.txt,False,False,False,0.45918367346938777,0.4861111111111111,106,0.6132075471698113,0,0.0,0.19811320754716982,0.25471698113207547,0.0,1.0,0.3273777435502503
pcgnn_021.txt,False,False,False,0.4744897959183674,0.4652777777777778,103,0.4563106796116505,0,0.0,0.2621359223300971,0.1650485436893204,0.0,1.0,0.3447741232415297
pcgnn_022.txt,False,False,False,0.45918367346938777,0.4166666666666667,106,0.6698113207547169,0,0.0,0.16037735849056603,0.3113207547169811,0.0,1.0,0.31983057373892954
pcgnn_023.txt,False,False,False,0.4897959183673469,0.4513888888888889,100,0.61,0,0.0,0.23,0.16,0.0,1.0,0.3429387755102041
pcgnn_024.txt,False,False,False,0.4744897959183674,0.4791666666666667,103,0.44660194174757284,0,0.0,0.21359223300970873,0.1650485436893204,0.0,1.0,0.33506538537745195
pcgnn_025.txt,False,False,False,0.45918367346938777,0.4722222222222222,106,0.3867924528301887,0,0.0,0.19811320754716982,0.20754716981132076,0.0,1.0,0.3273777435502503
pcgnn_026.txt,False,False,False,0.47959183673469385,0.4583333333333333,102,0.30392156862745096,0,0.0,0.20588235294117646,0.2549019607843137,0.0,1.0,0.3350540216086434
pcgnn_027.txt,False,False,False,0.4897959183673469,0.4722222222222222,100,0.18,0,0.0,0.27,0.05,0.0,1.0,0.350938775510204
pcgnn_028.txt,False,False,False,0.4846938775510204,0.4791666666666667,101,0.31683168316831684,0,0.0,0.22772277227722773,0.16831683168316833,0.0,1.0,0.34095271772075164
pcgnn_029.txt,False,False,False,0.4846938775510204,0.4722222222222222,101,0.4752475247524752,0,0.0,0.2871287128712871,0.2376237623762376,0.0,1.0,0.35283390583956353
pcgnn_030.txt,False,False,False,0.5,0.5,98,0.16326530612244897,0,0.0,0.2857142857142857,0.04081632653061224,0.0,1.0,0.3571428571428571
pcgnn_031.txt,False,False,False,0.4897959183673469,0.4861111111111111,100,0.2,0,0.0,0.24,0.14,0.0,1.0,0.344938775510204
pcgnn_032.txt,True,True,False,0.47959183673469385,0.5138888888888888,102,0.3431372549019608,0,0.0,0.18627450980392157,0.18627450980392157,0.0,1.0,0.3311324529811924
pcgnn_033.txt,False,False,False,0.4846938775510204,0.4583333333333333,101,0.36633663366336633,0,0.0,0.25742574257425743,0.26732673267326734,0.0,1.0,0.3468933117801576
pcgnn_034.txt,False,False,False,0.49489795918367346,0.5208333333333334,99,0.37373737373737376,0,0.0,0.20202020202020202,0.13131313131313133,0.0,1.0,0.33887342815914245
pcgnn_035.txt,False,False,False,0.45408163265306123,0.4791666666666667,107,0.3364485981308411,0,0.0,0.18691588785046728,0.24299065420560748,0.0,1.0,0.3236076673660118
pcgnn_036.txt,False,False,False,0.47959183673469385,0.4513888888888889,102,0.3431372549019608,0,0.0,0.18627450980392157,0.27450980392156865,0.0,1.0,0.3311324529811924
pcgnn_037.txt,False,False,False,0.46938775510204084,0.4513888888888889,104,0.4423076923076923,0,0.0,0.1346153846153846,0.3269230769230769,0.0,1.0,0.3177394034536891
pcgnn_038.txt,True,True,False,0.47959183673469385,0.5069444444444444,102,0.35294117647058826,0,0.0,0.27450980392156865,0.18627450980392157,0.0,1.0,0.3487795118047219
pcgnn_039.txt,False,False,False,0.47959183673469385,0.4791666666666667,102,0.19607843137254902,0,0.0,0.27450980392156865,0.08823529411764706,0.0,1.0,0.3487795118047219
pcgnn_040.txt,True,True,False,0.45918367346938777,0.4930555555555556,106,0.36792452830188677,0,0.0,0.20754716981132076,0.19811320754716982,0.0,1.0,0.3292645360030805
pcgnn_041.txt,True,True,True,0.4642857142857143,0.4444444444444444,105,0.6571428571428571,30,1.0714285714285714,0.24761904761904763,0.23809523809523808,0.9354838709677419,0.3619047619047619,0.5930952380952381
pcgnn_042.txt,False,False,False,0.5,0.4722222222222222,98,0.336734693877551,0,0.0,0.2653061224489796,0.12244897959183673,0.0,1.0,0.35306122448979593
pcgnn_043.txt,True,True,False,0.4642857142857143,0.4930555555555556,105,0.2571428571428571,0,0.0,0.3333333333333333,0.11428571428571428,0.0,1.0,0.3559523809523809
pcgnn_044.txt,False,False,False,0.47959183673469385,0.4930555555555556,102,0.19607843137254902,0,0.0,0.28431372549019607,0.11764705882352941,0.0,1.0,0.35074029611844737
pcgnn_045.txt,True,True,False,0.4744897959183674,0.4722222222222222,103,0.5048543689320388,0,0.0,0.18446601941747573,0.2524271844660194,0.0,1.0,0.32924014265900536
pcgnn_046.txt,False,False,False,0.4846938775510204,0.5069444444444444,101,0.13861386138613863,0,0.0,0.3069306930693069,0.12871287128712872,0.0,1.0,0.3567943018791675
pcgnn_047.txt,False,False,False,0.4744897959183674,0.4861111111111111,103,0.4854368932038835,0,0.0,0.2912621359223301,0.11650485436893204,0.0,1.0,0.3505993659599762
pcgnn_048.txt,False,False,False,0.49489795918367346,0.4791666666666667,99,0.29292929292929293,0,0.0,0.31313131313131315,0.15151515151515152,0.0,1.0,0.3610956503813647
pcgnn_049.txt,False,False,False,0.46938775510204084,0.4652777777777778,104,0.21153846153846154,0,0.0,0.19230769230769232,0.16346153846153846,0.0,1.0,0.3292778649921507
pcgnn_050.txt,True,True,False,0.4846938775510204,0.5208333333333334,101,0.1782178217821782,0,0.0,0.31683168316831684,0.04950495049504951,0.0,1.0,0.3587744998989695
pcgnn_051.txt,False,False,False,0.47959183673469385,0.4652777777777778,102,0.30392156862745096,0,0.0,0.23529411764705882,0.19607843137254902,0.0,1.0,0.3409363745498199
pcgnn_052.txt,False,False,False,0.49489795918367346,0.4930555555555556,99,0.29292929292929293,0,0.0,0.37373737373737376,0.08080808080808081,0.0,1.0,0.3732168625025768
