metric,count,mean,std,min,max
CompressionDistanceMetric,4950,0.486338511596251,0.031711617256932674,0.38461538461538464,0.618421052631579
LeniencyMetric,100,0.7986086382129979,0.12221419186219575,0.4230769230769231,1.0
SolvabilityMetric,100,1.0,0.0,1.0,1.0
AStarDiversityMetric,4950,0.2238304473304473,0.10070941798394531,0.016666666666666663,0.523809523809524
AStarDifficultyMetric,100,0.2530111157967469,0.21169725152098767,0.0,0.7790697674418605
AStarEditDistanceDiversityMetric,4950,0.5606189675236702,0.1590070044881459,0.11538461538461539,1.0
