file,has_player,has_enemy,solvable,wall_ratio,interior_wall_density,walkable_cells,reachable_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score,score_tier,range_tier,percentile_tier
pcgnn_000.txt,False,False,False,0.3163265306122449,0.3194444444444444,134,1.0,0,0.0,0.04477611940298507,0.5,0.0,1.0,0.25385318306427046,easy,unclassified,medium
pcgnn_001.txt,False,False,False,0.34183673469387754,0.3333333333333333,129,0.8449612403100775,0,0.0,0.09302325581395349,0.4496124031007752,0.0,1.0,0.27115567157095394,easy,unclassified,hard
pcgnn_002.txt,True,True,True,0.14795918367346939,0.18055555555555555,167,1.0,26,0.9285714285714286,0.0,0.7964071856287425,1.0,0.8383233532934131,0.4951362580960528,medium,unclassified,hard
pcgnn_003.txt,True,True,True,0.32653061224489793,0.3680555555555556,132,1.0,26,0.9285714285714286,0.05303030303030303,0.3939393939393939,0.9629629629629629,0.7954545454545454,0.5528834260977118,medium,unclassified,hard
pcgnn_004.txt,False,False,False,0.37244897959183676,0.3958333333333333,123,1.0,0,0.0,0.08130081300813008,0.37398373983739835,0.0,1.0,0.27799485647917704,easy,unclassified,hard
pcgnn_005.txt,True,True,True,0.30612244897959184,0.3472222222222222,136,0.9779411764705882,26,0.9285714285714286,0.03676470588235294,0.4411764705882353,1.0,0.7794117647058824,0.5411014405762304,medium,unclassified,hard
pcgnn_006.txt,True,True,True,0.2755102040816326,0.2847222222222222,142,0.9859154929577465,26,0.9285714285714286,0.04929577464788732,0.5915492957746479,0.9259259259259259,0.795774647887324,0.5368784133371658,medium,unclassified,hard
pcgnn_007.txt,False,False,False,0.39285714285714285,0.3958333333333333,119,0.8991596638655462,0,0.0,0.1092436974789916,0.2773109243697479,0.0,1.0,0.28970588235294115,easy,unclassified,hard
pcgnn_008.txt,True,True,True,0.3622448979591837,0.4375,125,1.0,26,0.9285714285714286,0.04,0.28,1.0,0.424,0.5052734693877551,medium,unclassified,hard
pcgnn_009.txt,True,True,True,0.29591836734693877,0.3055555555555556,138,0.9855072463768116,26,0.9285714285714286,0.050724637681159424,0.5579710144927537,1.0,0.7898550724637681,0.5423986986098788,medium,unclassified,hard
pcgnn_010.txt,True,True,True,0.3010204081632653,0.3194444444444444,137,1.0,26,0.9285714285714286,0.06569343065693431,0.5036496350364964,0.9259259259259259,0.8029197080291971,0.548882764784746,medium,unclassified,hard
pcgnn_011.txt,False,False,False,0.2755102040816326,0.2916666666666667,142,0.9859154929577465,0,0.0,0.035211267605633804,0.6056338028169014,0.0,1.0,0.23969531474561656,easy,unclassified,easy
pcgnn_012.txt,True,True,True,0.3622448979591837,0.3958333333333333,125,0.896,26,0.9285714285714286,0.104,0.336,0.9259259259259259,0.68,0.5564734693877551,medium,unclassified,hard
pcgnn_013.txt,True,True,True,0.23979591836734693,0.2986111111111111,149,1.0,26,0.9285714285714286,0.006711409395973154,0.6040268456375839,1.0,0.8187919463087249,0.5210998493357074,medium,unclassified,hard
pcgnn_014.txt,True,True,True,0.3673469387755102,0.3888888888888889,124,0.9354838709677419,26,0.9285714285714286,0.08064516129032258,0.31451612903225806,0.9259259259259259,0.717741935483871,0.5589944042132982,medium,unclassified,hard
pcgnn_015.txt,True,True,True,0.3979591836734694,0.4027777777777778,118,0.9067796610169492,30,1.0714285714285714,0.11016949152542373,0.3135593220338983,0.9354838709677419,0.4152542372881356,0.5537097890003458,medium,unclassified,hard
pcgnn_016.txt,True,True,True,0.2193877551020408,0.25,153,1.0,26,0.9285714285714286,0.026143790849673203,0.6797385620915033,0.9629629629629629,0.8235294117647058,0.5195744964652528,medium,unclassified,hard
pcgnn_017.txt,False,False,False,0.28061224489795916,0.3194444444444444,141,0.9361702127659575,0,0.0,0.02127659574468085,0.6028368794326241,0.0,1.0,0.2384389926183239,easy,unclassified,easy
pcgnn_018.txt,True,True,True,0.37755102040816324,0.3958333333333333,122,1.0,26,0.9285714285714286,0.10655737704918032,0.3114754098360656,0.9259259259259259,0.6721311475409836,0.5603964536634326,medium,unclassified,hard
pcgnn_019.txt,False,False,False,0.2653061224489796,0.2777777777777778,144,0.9861111111111112,0,0.0,0.04861111111111111,0.6041666666666666,0.0,1.0,0.2393140589569161,easy,unclassified,easy
pcgnn_020.txt,True,True,True,0.37244897959183676,0.3680555555555556,123,0.983739837398374,26,0.9285714285714286,0.08943089430894309,0.36585365853658536,0.9259259259259259,0.6504065040650406,0.5521818483490958,medium,unclassified,hard
pcgnn_021.txt,True,True,True,0.3826530612244898,0.4166666666666667,121,0.9752066115702479,26,0.9285714285714286,0.0743801652892562,0.2975206611570248,1.0,0.7520661157024794,0.56748186878057,medium,unclassified,hard
pcgnn_022.txt,True,True,False,0.4030612244897959,0.4305555555555556,117,0.6068376068376068,0,0.0,0.06837606837606838,0.2222222222222222,0.0,1.0,0.28459358102215243,easy,unclassified,hard
pcgnn_023.txt,True,True,True,0.2653061224489796,0.2708333333333333,144,0.9861111111111112,26,0.9285714285714286,0.05555555555555555,0.6041666666666666,0.9259259259259259,0.7986111111111112,0.5354946145124717,medium,unclassified,hard
pcgnn_024.txt,False,False,False,0.23979591836734693,0.2569444444444444,149,1.0,0,0.0,0.026845637583892617,0.6644295302013423,0.0,1.0,0.2273079030269826,easy,unclassified,easy
pcgnn_025.txt,True,True,True,0.23469387755102042,0.2638888888888889,150,1.0,26,0.9285714285714286,0.03333333333333333,0.6466666666666666,0.9629629629629629,0.82,0.5250748299319727,medium,unclassified,hard
pcgnn_026.txt,True,True,True,0.37755102040816324,0.4097222222222222,122,0.9590163934426229,26,0.9285714285714286,0.06557377049180328,0.26229508196721313,0.9259259259259259,0.4918032786885246,0.5251505520240883,medium,unclassified,hard
pcgnn_027.txt,True,True,True,0.2193877551020408,0.2222222222222222,153,1.0,26,0.9285714285714286,0.0196078431372549,0.7124183006535948,1.0,0.8235294117647058,0.5182673069227691,medium,unclassified,hard
pcgnn_028.txt,True,True,True,0.33163265306122447,0.3402777777777778,131,1.0,26,0.9285714285714286,0.05343511450381679,0.4198473282442748,0.9259259259259259,0.7938931297709924,0.5542607882847795,medium,unclassified,hard
pcgnn_029.txt,True,True,True,0.2755102040816326,0.2708333333333333,142,0.9929577464788732,26,0.9285714285714286,0.06338028169014084,0.5915492957746479,1.0,0.8028169014084507,0.5407516527737856,medium,unclassified,hard
pcgnn_030.txt,True,True,True,0.2653061224489796,0.2708333333333333,144,1.0,26,0.9285714285714286,0.04861111111111111,0.6319444444444444,0.9629629629629629,0.8125,0.5361890589569162,medium,unclassified,hard
pcgnn_031.txt,False,False,False,0.44387755102040816,0.4375,109,0.7431192660550459,0,0.0,0.13761467889908258,0.1926605504587156,0.0,1.0,0.3106862010859389,easy,unclassified,hard
pcgnn_032.txt,False,False,False,0.42857142857142855,0.4236111111111111,112,0.49107142857142855,0,0.0,0.10714285714285714,0.22321428571428573,0.0,1.0,0.3,easy,unclassified,hard
pcgnn_033.txt,False,False,False,0.29591836734693877,0.2847222222222222,138,0.9927536231884058,0,0.0,0.06521739130434782,0.5434782608695652,0.0,1.0,0.2518189884649512,easy,unclassified,medium
pcgnn_034.txt,False,False,False,0.41836734693877553,0.4166666666666667,114,0.8947368421052632,0,0.0,0.11403508771929824,0.22807017543859648,0.0,1.0,0.29831722162549235,easy,unclassified,hard
