file,has_player,has_enemy,solvable,wall_ratio,interior_wall_density,walkable_cells,reachable_ratio,shortest_path_length,path_norm,dead_end_ratio,branching_ratio,leniency,astar_difficulty,difficulty_score,score_tier,range_tier
pcgnn_000.txt,True,True,True,0.298828125,0.3055555555555556,718,1.0,62,0.96875,0.020891364902506964,0.5877437325905293,1.0,0.9122562674094707,0.569727650591922,medium,unclassified
pcgnn_001.txt,True,True,True,0.41796875,0.4177777777777778,596,0.9714765100671141,121,1.890625,0.0436241610738255,0.2533557046979866,0.9836065573770492,0.7667785234899329,0.599132235738255,medium,unclassified
pcgnn_002.txt,True,True,True,0.244140625,0.25333333333333335,774,1.0,62,0.96875,0.006459948320413436,0.7067183462532299,0.9841269841269841,0.9186046511627907,0.5513873748385012,medium,unclassified
pcgnn_003.txt,True,True,True,0.248046875,0.26555555555555554,770,1.0,62,0.96875,0.006493506493506494,0.6922077922077922,0.9841269841269841,0.9181818181818182,0.552502536525974,medium,unclassified
pcgnn_004.txt,True,True,True,0.435546875,0.45222222222222225,578,0.8806228373702422,115,1.796875,0.03806228373702422,0.18685121107266436,0.9913793103448276,0.6799307958477508,0.5902661386245674,medium,unclassified
pcgnn_005.txt,True,True,True,0.39453125,0.39111111111111113,620,0.9887096774193549,78,1.21875,0.043548387096774194,0.33225806451612905,0.9746835443037974,0.8612903225806452,0.6062626008064516,medium,unclassified
pcgnn_006.txt,True,True,True,0.3994140625,0.4033333333333333,615,0.8829268292682927,93,1.453125,0.04065040650406504,0.3024390243902439,0.9787234042553191,0.7300813008130081,0.5874664951727642,medium,unclassified
pcgnn_007.txt,True,True,True,0.32421875,0.33,692,0.9985549132947977,62,0.96875,0.02167630057803468,0.5072254335260116,1.0,0.9075144508670521,0.5767905527456647,medium,unclassified
pcgnn_008.txt,True,True,True,0.2734375,0.2822222222222222,744,1.0,62,0.96875,0.01747311827956989,0.6545698924731183,0.9841269841269841,0.9153225806451613,0.5618867607526882,medium,unclassified
pcgnn_009.txt,True,True,True,0.375,0.39111111111111113,640,0.9546875,62,0.96875,0.0265625,0.378125,0.9682539682539683,0.85625,0.5853124999999999,medium,unclassified
pcgnn_010.txt,True,True,True,0.421875,0.4255555555555556,592,0.6942567567567568,83,1.296875,0.05574324324324324,0.25506756756756754,0.9880952380952381,0.5523648648648649,0.5705658783783785,medium,unclassified
pcgnn_011.txt,True,True,True,0.3984375,0.3977777777777778,616,1.0,79,1.234375,0.03896103896103896,0.3457792207792208,0.9875,0.8701298701298701,0.6078429383116882,medium,unclassified
pcgnn_012.txt,True,True,True,0.2900390625,0.30333333333333334,727,1.0,62,0.96875,0.016506189821182942,0.5859697386519945,1.0,0.9133425034387895,0.566376832230055,medium,unclassified
pcgnn_013.txt,True,True,True,0.4423828125,0.4533333333333333,571,0.8143607705779334,136,2.125,0.04553415061295972,0.1733800350262697,0.9854014598540146,0.574430823117338,0.5779862973401926,medium,unclassified
pcgnn_014.txt,True,True,True,0.2822265625,0.28444444444444444,735,1.0,62,0.96875,0.024489795918367346,0.6326530612244898,0.9682539682539683,0.9142857142857143,0.5657712850765306,medium,unclassified
pcgnn_015.txt,True,True,True,0.412109375,0.4122222222222222,602,0.9800664451827242,114,1.78125,0.03322259136212625,0.3073089700996678,0.9826086956521739,0.7890365448504983,0.5986328125,medium,unclassified
pcgnn_016.txt,True,True,True,0.3212890625,0.31666666666666665,695,0.9870503597122302,61,0.953125,0.027338129496402876,0.5697841726618705,0.9838709677419355,0.897841726618705,0.5701243536420862,medium,unclassified
pcgnn_017.txt,True,True,True,0.2412109375,0.24555555555555555,777,1.0,62,0.96875,0.009009009009009009,0.7271557271557272,0.9841269841269841,0.918918918918919,0.5510654208896396,medium,unclassified
pcgnn_018.txt,True,True,True,0.322265625,0.33111111111111113,694,1.0,62,0.96875,0.025936599423631124,0.521613832853026,0.9682539682539683,0.909221902017291,0.5773127926873198,medium,unclassified
pcgnn_019.txt,True,True,True,0.19921875,0.19555555555555557,820,0.9975609756097561,62,0.96875,0.013414634146341463,0.8036585365853659,0.9841269841269841,0.9207317073170732,0.5396208079268292,medium,unclassified
pcgnn_020.txt,True,True,True,0.412109375,0.4166666666666667,602,0.8803986710963455,102,1.59375,0.03488372093023256,0.287375415282392,0.9805825242718447,0.7093023255813954,0.5870049055232558,medium,unclassified
pcgnn_021.txt,True,True,True,0.4404296875,0.44555555555555554,573,0.987783595113438,144,2.25,0.05235602094240838,0.20418848167539266,0.9862068965517241,0.7347294938917975,0.6028095345222513,medium,unclassified
pcgnn_022.txt,True,True,True,0.400390625,0.40444444444444444,614,0.9771986970684039,89,1.390625,0.03908794788273615,0.2964169381107492,0.9777777777777777,0.8306188925081434,0.6025276109527686,medium,unclassified
pcgnn_023.txt,True,True,True,0.3779296875,0.3888888888888889,637,0.9246467817896389,72,1.125,0.026687598116169546,0.3783359497645212,1.0,0.8100470957613815,0.5902234902374411,medium,unclassified
pcgnn_024.txt,True,True,True,0.28125,0.2866666666666667,736,0.998641304347826,62,0.96875,0.019021739130434784,0.6195652173913043,0.9841269841269841,0.9130434782608695,0.5641983695652173,medium,unclassified
pcgnn_025.txt,True,True,True,0.193359375,0.20222222222222222,826,1.0,61,0.953125,0.004842615012106538,0.801452784503632,1.0,0.9249394673123487,0.5313110055992736,medium,unclassified
pcgnn_026.txt,True,True,True,0.1708984375,0.17555555555555555,849,1.0,62,0.96875,0.004711425206124852,0.8280329799764429,1.0,0.9257950530035336,0.530143574241755,medium,unclassified
pcgnn_027.txt,True,True,True,0.2919921875,0.3022222222222222,725,1.0,62,0.96875,0.012413793103448275,0.5903448275862069,0.9841269841269841,0.9131034482758621,0.566108432112069,medium,unclassified
pcgnn_028.txt,True,True,True,0.20703125,0.21,812,1.0,62,0.96875,0.013546798029556651,0.7586206896551724,0.9682539682539683,0.9224137931034483,0.5422433035714285,medium,unclassified
pcgnn_029.txt,True,True,True,0.2392578125,0.24555555555555555,779,1.0,62,0.96875,0.012836970474967908,0.7137355584082157,0.9682539682539683,0.9191270860077022,0.5512763007461489,medium,unclassified
pcgnn_030.txt,True,True,True,0.2958984375,0.29888888888888887,721,1.0,62,0.96875,0.024965325936199722,0.6047156726768377,1.0,0.912621359223301,0.5697183003207351,medium,unclassified
pcgnn_031.txt,True,True,True,0.37109375,0.38333333333333336,644,0.9922360248447205,90,1.40625,0.043478260869565216,0.36801242236024845,0.978021978021978,0.8509316770186336,0.597663528726708,medium,unclassified
pcgnn_032.txt,True,True,True,0.4033203125,0.4066666666666667,611,0.9901800327332242,65,1.015625,0.04091653027823241,0.32078559738134205,0.9848484848484849,0.8821603927986906,0.61150345872545,medium,unclassified
pcgnn_033.txt,True,True,True,0.1787109375,0.18444444444444444,841,1.0,62,0.96875,0.0023781212841854932,0.8478002378121284,1.0,0.925089179548157,0.5319147824390607,medium,unclassified
